"Book_ID","Title","Author","Writing_tags","Writing_notes_present","Writing_notes_missing","Reading_tags","Reading_notes_present","Reading_notes_missing","Work_queue","Blurb_status","PRIDE","Inquiry","Teaching_ideas","Notes"
"00854d4e-1359-4fa5-93f2-73dbb96dfb08","Turn the Tide","Dimopoulos, Elaine","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"01a445c1-88b1-4e55-a807-71ab5e0c29b0","Shortcut","Crews, Donald","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"045d264b-a9b4-4e5f-8b91-f4e537cdad61","The Very Hungry Bear","Nick Bland","4","0","4","0","0","0","Preserve writing; later reading review","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"06ee48ee-644a-4beb-aab7-0d8c0584d97f","Fantastic Mr Fox","Dahl, Roald","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0737962a-0ee0-4897-af6a-5fc692084758","Pandemic","French, Jackie","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"07385c97-09cf-48a2-80c0-5859e8d92ea4","Owl Moon","Yolen, Jane","1","0","1","0","0","0","Preserve writing; later reading review","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"07871b45-d7f3-4046-aa5a-cfb927c537ac","Little People, Big Dreams - Frida Kahlo","Sanchez Vegara, Isabel","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0825e5ed-de05-4288-9b0f-e3972b6a3fc3","Making the Shrine, stories from Victoria's war memorial","Carroll, Laura","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0937e07c-8db5-4ddb-9417-04dc8568f6d7","The Snail and the Whale","Donaldson, Julia","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"09e2098c-425e-4090-9f51-1a18f14f2588","The Gruffalo","Donaldson, Julia","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0a70af2b-8e86-464f-aff6-dba41e40d62d","This Book Thinks Ya Deadly! - A Celebration of Blak Excellence","Tutt, Corey","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0ba2c43e-9d67-484d-a30e-5e9b31c50e4a","Wolf in the Snow","Cordell, Matthew","3","0","3","0","0","0","Preserve writing; later reading review","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0c9e994f-7863-41c7-93b6-cfb4a719f1d6","Saskia Spark-lee Fundraiser Fail","Sharpe Shelberg, Rebecka","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0cbb258d-5548-4504-a81a-0495f5d3c653","Our Country - Where History Happened","Greenwood, Mark","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0d096957-ede7-4fcd-b5f0-a564f3c9532d","Oliver and George","Carnavas, Peter","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0d0d5615-98cc-4b89-b33d-cd0b13fdfad0","Jorn's Magnificent Imagination","Vass, Coral","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0d1e0649-902f-41c9-b793-d51942dadaaa","Jigsaw - A Puzzle in the Post","Graham, Bob","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0d919f6d-181f-4eff-ae9b-d2ed461baad7","Where the Wild Things Are","Maurice Sendak","3","0","3","0","0","0","Preserve writing; later reading review","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
"0e35eff6-9e5a-46d1-ba76-e971ac800e0e","The Giraffe and the Pelly and Me","Dahl, Roald","0","0","0","0","0","0","First writing/reading gap pass","verified","Not yet assessed","Not yet assessed","Not yet drafted","Based on recovered snapshot; note presence does not establish quality or approval."
